,city_num,city,country,date,humidity,cloudiness,lat,long,maxtemp,windspeed
94,104,Xining,CN,1619458541,47,27,36.6167,101.7667,277.63,1.69
95,105,Varkala,IN,1619458542,84,20,8.7341,76.7067,302.15,1.54
96,106,Isiolo,KE,1619458542,64,100,0.3546,37.5822,296.37,3.88
97,107,Hilo,US,1619458402,73,1,19.7297,-155.09,294.15,2.57
98,110,Rauma,FI,1619458543,70,90,61.1272,21.5113,277.15,4.12
99,111,Husavik,IS,1619458544,70,0,66.0449,-17.3389,277.15,4.63
100,112,Burnie,AU,1619458350,79,5,-41.0667,145.9167,282.59,1.79
101,113,Jiaozuo,CN,1619458544,25,86,35.2397,113.2331,289.33,3.34
102,114,Okara,PK,1619458427,15,0,30.8081,73.4458,303.72,2.86
103,115,Krasnaya Polyana,RU,1619458545,60,15,56.242,51.1442,278.34,3.86
104,116,Port Alfred,ZA,1619458546,81,100,-33.5906,26.891,294.03,5.47
105,118,Vanimo,PG,1619458546,84,88,-2.6741,141.3028,298.15,0.63
106,119,Fortuna,US,1619458547,81,75,40.5982,-124.1573,285.93,2.04
108,122,Matara,LK,1619458548,86,68,5.9485,80.5353,299.28,1.21
109,123,Miguel Alves,BR,1619458548,46,86,-4.1656,-42.8953,306.49,2.32
110,124,Ambanja,MG,1619458549,90,30,-13.6833,48.45,297.5,1.38
111,125,Arrondissement de Saint-Malo,FR,1619458549,58,0,48.5,-1.8333,286.15,5.66
112,126,Tasiilaq,GL,1619458550,75,75,65.6145,-37.6368,277.15,4.53
113,127,Nome,US,1619458550,75,90,64.5011,-165.4064,276.15,2.36
114,129,Hong Kong,HK,1619458418,88,100,22.2855,114.1577,296.48,0.45
116,131,Hamilton,US,1619458281,37,1,39.1834,-84.5333,294.26,3.09
117,132,Yenagoa,NG,1619458552,75,78,4.9247,6.2642,301.41,2.98
119,134,Esperance,AU,1619458553,63,100,-33.8667,121.9,292.15,4.63
120,135,Balikpapan,ID,1619458553,88,44,-1.2675,116.8289,297.94,1.89
121,136,Buraidah,SA,1619458554,32,20,26.326,43.975,303.15,1.03
122,137,Pericos,MX,1619458554,44,75,25.05,-107.7,301.15,5.14
125,140,Beïnamar,TD,1619458556,27,69,8.6698,15.3813,307.01,2.16
126,141,Kumul,CN,1619458556,15,9,42.8,93.45,283.46,5.64
127,142,Kalmunai,LK,1619458529,79,78,7.4167,81.8167,299.97,4.5
128,143,Morro da Fumaça,BR,1619458557,49,0,-28.6508,-49.21,296.48,5.06
129,144,Coahuayana Viejo,MX,1619458557,48,90,18.7333,-103.6833,302.15,3.07
130,146,Pisco,PE,1619458558,82,75,-13.7,-76.2167,293.15,4.63
131,147,Tailai,CN,1619458558,27,95,46.3833,123.4,288.99,6.39
132,148,East London,ZA,1619458476,83,0,-33.0153,27.9116,294.15,3.6
133,149,Torbay,CA,1619458559,46,90,47.6666,-52.7314,282.15,11.83
134,150,Smithers,CA,1619458560,42,20,54.7804,-127.1743,280.15,1.03
135,152,Ous,RU,1619458560,72,91,60.9058,61.5186,277.15,4.05
136,153,Johnstown,US,1619458015,29,1,40.3267,-78.922,284.26,5.66
137,154,Port Blair,IN,1619458561,75,79,11.6667,92.75,300.79,3.06
138,155,Aljezur,PT,1619458561,77,98,37.3191,-8.8033,291.18,3.64
139,156,Constitución,CL,1619458526,52,0,-35.3333,-72.4167,292.32,5.67
140,157,Suntar,RU,1619458562,83,92,62.1444,117.6319,266.64,3.69
141,158,Santa Cruz,MA,1619458563,46,75,30.4202,-9.5982,296.15,7.2
142,159,Lagoa,PT,1619458563,74,79,39.05,-27.9833,289.39,3.12
143,160,Potosí,BO,1619458564,10,0,-19.5836,-65.7531,285.06,2.01
144,161,Yulara,AU,1619458564,41,0,-25.2406,130.9889,287.15,3.6
145,162,Bambous Virieux,MU,1619458565,78,75,-20.3428,57.7575,299.15,6.17
147,164,Shimoda,JP,1619458439,74,60,34.6667,138.95,282.04,1.98
148,165,Conde,BR,1619458566,66,40,-7.2597,-34.9075,303.15,5.14
149,166,Paita,PE,1619458477,65,0,-5.0892,-81.1144,298.15,5.66
150,167,Yellowknife,CA,1619458512,60,40,62.456,-114.3525,257.15,5.66
151,168,Pryazha,RU,1619458567,81,100,61.6926,33.6216,276.15,6.0
152,169,Ahipara,NZ,1619458567,80,10,-35.1667,173.1667,286.78,3.0
154,171,George Town,MY,1619458438,89,40,5.4112,100.3354,300.15,1.03
155,172,Hervey Bay,AU,1619458569,82,0,-25.2986,152.8535,289.82,3.09
159,176,Shache,CN,1619458570,14,0,38.4167,77.2406,291.64,3.74
161,178,Hobart,AU,1619458571,87,3,-42.8794,147.3294,282.04,2.53
162,179,Craig,US,1619458572,9,1,40.5153,-107.5464,289.15,12.86
165,182,Săcel,RO,1619458573,72,100,47.6333,24.4333,275.5,0.49
166,183,Nouakchott,MR,1619458574,57,13,18.0858,-15.9785,298.15,10.8
168,185,Necochea,AR,1619458575,60,1,-38.5473,-58.7368,293.15,0.45
169,186,Eureka,US,1619458575,69,71,40.8021,-124.1637,284.82,0.45
170,187,Bar Harbor,US,1619458575,49,90,44.3876,-68.2039,283.15,5.66
171,188,Cascas,PE,1619458576,72,75,-7.4833,-78.8167,289.15,2.57
173,190,Avera,US,1619458577,41,1,33.194,-82.5271,297.15,3.6
174,191,Lake City,US,1619458467,50,75,30.1897,-82.6393,300.37,2.57
175,192,Codrington,AU,1619458578,76,87,-38.2667,141.9667,286.24,2.58
177,195,Puerto Ayora,EC,1619458578,65,20,-0.7393,-90.3518,302.15,4.12
178,196,Rawson,AR,1619458579,30,15,-43.3002,-65.1023,294.81,3.15
179,198,Lorengau,PG,1619458576,77,100,-2.0226,147.2712,300.04,0.48
180,199,Peace River,CA,1619458580,60,90,56.2501,-117.286,274.15,7.72
181,201,Sechura,PE,1619458580,57,17,-5.5569,-80.8222,300.01,4.35
182,202,Hutchinson,US,1619458479,36,1,38.0608,-97.9298,300.15,12.35
184,204,Parkes,AU,1619458581,78,0,-33.1333,148.1833,279.82,1.73
185,206,Tuatapere,NZ,1619458582,87,96,-46.1333,167.6833,277.59,3.13
186,207,Kavaratti,IN,1619458582,71,0,10.5669,72.642,302.51,3.16
187,208,Puerto Ayacucho,VE,1619458583,45,55,5.6639,-67.6236,307.36,1.4
188,209,Ancud,CL,1619458583,77,75,-41.8697,-73.8203,289.82,5.66
189,210,Kaitangata,NZ,1619458434,83,90,-46.2817,169.8464,278.15,1.34
190,211,Isangel,VU,1619458584,75,97,-19.55,169.2667,297.3,4.3
191,212,Great Falls,US,1619458585,49,1,47.5002,-111.3008,283.15,5.66
192,213,Ukiah,US,1619458522,62,1,39.1502,-123.2078,284.82,1.92
195,216,Mizdah,LY,1619458586,13,16,31.4451,12.9801,301.85,5.33
196,217,Aswān,EG,1619458587,14,0,24.0934,32.907,303.55,8.42
197,218,Hithadhoo,MV,1619458450,62,12,-0.6,73.0833,301.62,1.87
198,219,Itupiranga,BR,1619458587,69,69,-5.1347,-49.3267,303.09,0.9
199,220,Narsaq,GL,1619458588,81,75,60.9167,-46.05,277.15,4.12
200,221,Siyabuswa,ZA,1619458588,18,2,-25.1132,29.0445,291.89,1.65
201,222,São Filipe,CV,1619458589,77,18,14.8961,-24.4956,295.29,4.22
202,223,Ayr,GB,1619458589,87,75,55.4627,-4.6339,283.15,5.14
204,225,Yārāda,IN,1619458590,79,40,17.65,83.2667,302.15,3.09
205,226,Upernavik,GL,1619458591,90,89,72.7868,-56.1549,275.68,2.43
206,227,Faya,SA,1619458591,77,0,18.3851,42.4509,288.15,2.06
